ID,ACTIVE_LABEL,SMILES,SOL_CD73_INHIB_PERCENT_5uM,SOL_CD73_INHIB_PERCENT_5uM_SD,CELL_CD_73_INHIB_PERCENT_100uM,CELL_CD_73_INHIB_PERCENT_100uM_SD,KI_uM,KI_uM_SD,NOTE
1o_Grossjean_2025,True,CC1=C(C#N)C(SCCC(NC2=CC=C(C(OC)=O)C=C2)=O)=NC(C)=C1,25,1,24,8,NA,NA,NA
1p_Grossjean_2025,True,CC1=C(C#N)C(SCCC(NC2=NOC=C2)=O)=NC(C)=C1,34,6,16,2,NA,NA,NA
1q_Grossjean_2025,False,CC1=C(C#N)C(SCCC(NCC(OC)=O)=O)=NC(C)=C1,-22,7,31,4,NA,NA,Drawn incorrectly in Table 7
2a_Grossjean_2025,False,CC1=CC(C(F)(F)F)=C(C#N)C(SCC(NC2=CC=C(C(OCC)=O)C=C2)=O)=N1,20,10,NA,NA,NA,NA,Undetermined cell inhibition; solubility
2b_Grossjean_2025,False,CC1=CC(C(F)(F)F)=C(C#N)C(SCC(NC2=CC=C(C(OC)=O)C=C2)=O)=N1,12,8,22,10,NA,NA,NA
2c_Grossjean_2025,False,CC1=CC(C(F)(F)F)=C(C#N)C(SCC(NC2=CC=C(OC)C=C2)=O)=N1,12,6,0,6,NA,NA,NA
2d_Grossjean_2025,False,CC1=CC(C(F)(F)F)=C(C#N)C(SCC(NC2=CC=CC=C2)=O)=N1,0,3,11,3,NA,NA,NA
2e_Grossjean_2025,False,CC1=CC(C(F)(F)F)=C(C#N)C(SCC(NC2=NC(C)=CC=C2)=O)=N1,-19,14,28,10,NA,NA,NA
2f_Grossjean_2025,False,CC1=CC(C(F)(F)F)=C(C#N)C(SCC(NC2=CN=CC=C2)=O)=N1,-25,16,-35,14,NA,NA,NA
2g_Grossjean_2025,False,CC1=CC(C(F)(F)F)=C(C#N)C(SCC(NCC2=CC=CC=C2)=O)=N1,-2,8,NA,NA,NA,NA,Undetermined cell inhibition; solubility
2h_Grossjean_2025,False,CC1=CC(C(F)(F)F)=C(C#N)C(SCC(NCC2=C(OC)C(OC)=C(OC)C=C2)=O)=N1,17,9,27,19,NA,NA,NA
2i_Grossjean_2025,False,CC1=CC(C(F)(F)F)=C(C#N)C(SCC(NC2=NOC=C2)=O)=N1,-38,12,NA,NA,NA,NA,Undetermined cell inhibition; solubility
2j_Grossjean_2025,True,CC1=CC(C(F)(F)F)=C(C#N)C(SCC(NC2=NC=CS2)=O)=N1,33,11,-2,5,NA,NA,NA
2k_Grossjean_2025,False,N#CC(C(SCC(NCCOCCOCCOC)=O)=NC(C)=C1)=C1C(F)(F)F,1,4,-1,6,NA,NA,NA
3bc_Grossjean_2025,True,CC1=C(C#N)C(SCC(NC2=CC=C(OC)C=C2)=O)=NC(C3=CC=CC=C3)=C1,79,4,NA,NA,NA,NA,Undetermined cell inhibition; solubility
3bd_Grossjean_2025,True,CC1=C(C#N)C(SCC(NC2=CC=CC=C2)=O)=NC(C3=CC=CC=C3)=C1,71,3,NA,NA,NA,NA,Undetermined cell inhibition; solubility
3be_Grossjean_2025,True,CC1=C(C#N)C(SCC(NC2=NC(C)=CC=C2)=O)=NC(C3=CC=CC=C3)=C1,58,10,27,8,NA,NA,NA
3bf_Grossjean_2025,True,CC1=C(C#N)C(SCC(NC2=CN=CC=C2)=O)=NC(C3=CC=CC=C3)=C1,35,4,-72,3,NA,NA,NA
3bg_Grossjean_2025,True,CC1=C(C#N)C(SCC(NCC2=CC=CC=C2)=O)=NC(C3=CC=CC=C3)=C1,47,7,NA,NA,NA,NA,Undetermined cell inhibition; solubility
3bk_Grossjean_2025,False,CC1=C(C(SCC(NCCOCCOCCOC)=O)=NC(C2=CC=CC=C2)=C1)C#N,0,11,NA,NA,NA,NA,Undetermined cell inhibition; solubility
3aa_Grossjean_2025,False,N#CC1=C(C(F)(F)F)C=C(C2=CC=CC=C2)N=C1SCC(NC3=CC=C(C(OCC)=O)C=C3)=O,10,5,23,5,NA,NA,NA
3ab_Grossjean_2025,True,N#CC1=C(C(F)(F)F)C=C(C2=CC=CC=C2)N=C1SCC(NC3=CC=C(C(OC)=O)C=C3)=O,90,9,-69,16,NA,NA,NA
3ac_Grossjean_2025,True,N#CC1=C(C(F)(F)F)C=C(C2=CC=CC=C2)N=C1SCC(NC3=CC=C(OC)C=C3)=O,85,7,NA,NA,NA,NA,Undetermined cell inhibition; solubility
